Episode,Total Reward,Steps Taken,state,Path,Final_position,Epsilon
1,-5,4,"(1, 1)","(0, 0);(0, 0);(0, 1);(1, 1)","(1, 0)",0.995
2,-5,4,"(0, 2)","(1, 0);(1, 1);(0, 1);(0, 2)","(0, 2)",0.990025
3,-5,4,"(1, 0)","(0, 0);(0, 1);(1, 1);(1, 0)","(2, 0)",0.985074875
4,0,4,"(0, 0)","(0, 0);(0, 0);(0, 1);(0, 0)","(0, 0)",0.9801495006250001
5,0,4,"(0, 2)","(0, 1);(0, 1);(0, 1);(0, 2)","(0, 1)",0.9752487531218751
6,0,4,"(2, 0)","(0, 0);(0, 0);(1, 0);(2, 0)","(1, 0)",0.9703725093562657
7,0,4,"(0, 2)","(0, 1);(0, 1);(0, 1);(0, 2)","(0, 1)",0.9655206468094844
8,0,4,"(0, 1)","(0, 0);(0, 0);(0, 1);(0, 1)","(1, 1)",0.960693043575437
9,0,4,"(0, 0)","(1, 0);(0, 0);(0, 1);(0, 0)","(0, 1)",0.9558895783575597
10,-5,4,"(2, 1)","(0, 0);(0, 1);(1, 1);(2, 1)","(2, 1)",0.9511101304657719
