Episode,Total Reward,Steps Taken,state,Path,Final_position,Epsilon
1,-5,4,"(1, 0)","(0, 0);(0, 1);(1, 1);(1, 0)","(0, 0)",0.8728124908497364
2,0,4,"(0, 1)","(0, 0);(0, 0);(0, 1);(0, 1)","(0, 0)",0.7618016441833213
3,-5,4,"(1, 1)","(1, 0);(1, 0);(1, 0);(1, 1)","(1, 0)",0.6649099905930693
4,0,4,"(0, 1)","(0, 0);(0, 0);(0, 0);(0, 1)","(1, 1)",0.5803417450804117
5,0,4,"(0, 1)","(0, 1);(0, 1);(0, 2);(0, 1)","(0, 0)",0.5065295240677169
6,0,4,"(0, 0)","(0, 0);(0, 0);(0, 0);(0, 0)","(0, 0)",0.4421052955904755
7,-5,4,"(1, 0)","(0, 0);(1, 0);(1, 1);(1, 0)","(1, 0)",0.38587502426218195
8,0,4,"(0, 0)","(0, 0);(0, 0);(0, 1);(0, 0)","(0, 0)",0.3367965410829775
9,0,4,"(0, 0)","(0, 1);(0, 0);(0, 1);(0, 0)","(0, 0)",0.2939602279322092
10,0,4,"(0, 0)","(0, 0);(0, 0);(0, 1);(0, 0)","(1, 0)",0.2565721587522678
11,0,4,"(0, 0)","(0, 0);(0, 0);(0, 0);(0, 0)","(0, 0)",0.22393938496326085
12,0,4,"(0, 0)","(0, 0);(0, 0);(0, 0);(0, 0)","(0, 0)",0.19545709238914172
13,0,4,"(1, 0)","(0, 0);(0, 0);(1, 0);(1, 0)","(1, 0)",0.17059739166241383
14,0,4,"(0, 0)","(0, 0);(0, 0);(0, 0);(0, 0)","(1, 0)",0.14889953434933947
15,0,4,"(0, 0)","(0, 0);(0, 0);(0, 0);(0, 0)","(0, 0)",0.12996137346181288
16,0,4,"(0, 0)","(0, 0);(0, 0);(0, 0);(0, 0)","(0, 0)",0.11343191008545774
17,0,4,"(0, 0)","(0, 0);(0, 0);(0, 0);(0, 0)","(0, 0)",0.09900478798353171
18,0,4,"(1, 0)","(0, 0);(0, 0);(0, 0);(1, 0)","(0, 0)",0.08641261560595637
19,0,4,"(0, 0)","(0, 0);(0, 0);(0, 0);(0, 0)","(0, 0)",0.07542201026787558
20,0,4,"(0, 0)","(0, 0);(1, 0);(0, 0);(0, 0)","(0, 0)",0.06582927264679889
21,0,4,"(0, 0)","(0, 0);(0, 0);(0, 0);(0, 0)","(0, 0)",0.05745661142967896
22,0,4,"(0, 0)","(0, 0);(0, 0);(0, 0);(0, 0)","(0, 0)",0.05014884813772353
23,0,4,"(0, 0)","(0, 0);(0, 0);(0, 0);(0, 0)","(0, 0)",0.043770541056331644
24,0,4,"(0, 0)","(0, 0);(0, 0);(0, 0);(0, 0)","(0, 0)",0.03820347496521748
25,0,4,"(0, 0)","(0, 0);(0, 0);(0, 0);(0, 0)","(0, 0)",0.03334447014350701
26,0,4,"(0, 0)","(0, 0);(0, 0);(0, 0);(0, 0)","(0, 0)",0.029103470042019023
27,0,4,"(0, 0)","(0, 0);(0, 0);(0, 0);(0, 0)","(0, 0)",0.025401872179745308
28,0,4,"(0, 0)","(0, 0);(0, 0);(0, 1);(0, 0)","(0, 0)",0.022171071329450127
29,0,4,"(0, 0)","(0, 0);(0, 0);(0, 0);(0, 0)","(0, 0)",0.019351187991864544
30,0,4,"(0, 0)","(0, 0);(0, 0);(0, 0);(0, 0)","(0, 0)",0.0168899585920808
31,0,4,"(0, 0)","(0, 0);(0, 0);(0, 0);(0, 0)","(0, 0)",0.014741766829102951
32,0,4,"(0, 0)","(0, 0);(0, 0);(0, 0);(0, 0)","(0, 0)",0.012866798225635368
33,0,4,"(0, 0)","(0, 0);(0, 0);(0, 0);(0, 0)","(0, 0)",0.011230302208577776
34,0,4,"(0, 0)","(0, 0);(0, 0);(0, 0);(0, 0)","(0, 0)",0.01
35,0,4,"(0, 0)","(0, 0);(0, 0);(0, 0);(0, 0)","(0, 0)",0.01
36,0,4,"(0, 0)","(0, 0);(0, 0);(0, 0);(0, 0)","(0, 0)",0.01
37,0,4,"(0, 0)","(0, 0);(0, 0);(0, 0);(0, 0)","(0, 0)",0.01
38,0,4,"(1, 0)","(0, 0);(0, 0);(1, 0);(1, 0)","(1, 0)",0.01
39,0,4,"(0, 0)","(0, 0);(0, 0);(0, 0);(0, 0)","(0, 0)",0.01
40,0,4,"(0, 0)","(0, 0);(0, 0);(0, 0);(0, 0)","(0, 0)",0.01
