Episode,Total Reward,Steps Taken,state,Path,Final_position,Epsilon
1,0,4,"(1, 0)","(0, 0);(0, 0);(1, 0);(1, 0)","(2, 0)",0.995
2,0,4,"(0, 1)","(0, 1);(0, 2);(0, 2);(0, 1)","(0, 2)",0.990025
3,-1,4,"(2, 0)","(0, 1);(1, 1);(1, 0);(2, 0)","(1, 0)",0.985074875
4,-1,4,"(1, 1)","(0, 0);(0, 1);(0, 1);(1, 1)","(1, 0)",0.9801495006250001
5,0,4,"(0, 0)","(0, 0);(0, 0);(0, 0);(0, 0)","(0, 0)",0.9752487531218751
6,0,4,"(0, 1)","(0, 0);(1, 0);(0, 0);(0, 1)","(0, 0)",0.9703725093562657
7,0,4,"(0, 2)","(0, 0);(0, 1);(0, 1);(0, 2)","(0, 2)",0.9655206468094844
8,-1,4,"(2, 1)","(0, 0);(1, 0);(1, 1);(2, 1)","(2, 2)",0.960693043575437
9,0,4,"(1, 0)","(0, 0);(0, 1);(0, 0);(1, 0)","(1, 1)",0.9558895783575597
10,0,4,"(1, 0)","(0, 0);(0, 0);(1, 0);(1, 0)","(0, 0)",0.9511101304657719
11,0,4,"(1, 0)","(1, 0);(2, 0);(1, 0);(1, 0)","(2, 0)",0.946354579813443
12,0,4,"(1, 0)","(0, 0);(1, 0);(2, 0);(1, 0)","(1, 1)",0.9416228069143757
13,-1,4,"(0, 1)","(0, 1);(0, 1);(1, 1);(0, 1)","(0, 2)",0.9369146928798039
14,-1,4,"(0, 0)","(0, 1);(1, 1);(1, 0);(0, 0)","(0, 0)",0.9322301194154049
15,0,4,"(1, 0)","(1, 0);(2, 0);(2, 0);(1, 0)","(1, 1)",0.9275689688183278
16,-1,4,"(2, 1)","(1, 0);(1, 1);(2, 1);(2, 1)","(2, 0)",0.9229311239742362
17,4,4,"(2, 2)","(0, 1);(1, 1);(1, 2);(2, 2)","(2, 1)",0.918316468354365
18,0,4,"(0, 1)","(0, 0);(0, 1);(0, 2);(0, 1)","(0, 2)",0.9137248860125932
19,0,4,"(0, 1)","(1, 0);(0, 0);(0, 0);(0, 1)","(1, 1)",0.9091562615825302
20,-1,4,"(0, 2)","(1, 0);(1, 1);(0, 1);(0, 2)","(0, 2)",0.9046104802746175
21,0,4,"(0, 0)","(0, 0);(1, 0);(0, 0);(0, 0)","(1, 0)",0.9000874278732445
22,0,4,"(2, 0)","(1, 0);(2, 0);(2, 0);(2, 0)","(2, 0)",0.8955869907338783
23,0,4,"(2, 0)","(0, 0);(0, 0);(1, 0);(2, 0)","(1, 0)",0.8911090557802088
24,0,4,"(0, 0)","(1, 0);(0, 0);(0, 0);(0, 0)","(0, 1)",0.8866535105013078
25,-1,4,"(0, 2)","(0, 1);(1, 1);(1, 2);(0, 2)","(0, 2)",0.8822202429488013
26,0,4,"(0, 1)","(0, 1);(0, 0);(0, 0);(0, 1)","(0, 1)",0.8778091417340573
27,4,4,"(2, 2)","(1, 0);(1, 1);(1, 2);(2, 2)","(2, 2)",0.8734200960253871
28,0,4,"(1, 0)","(0, 0);(1, 0);(1, 0);(1, 0)","(1, 1)",0.8690529955452602
29,-1,4,"(2, 1)","(0, 1);(1, 1);(2, 1);(2, 1)","(2, 1)",0.8647077305675338
30,0,4,"(0, 1)","(0, 0);(0, 0);(0, 0);(0, 1)","(1, 1)",0.8603841919146962
31,0,4,"(0, 0)","(0, 1);(0, 1);(0, 1);(0, 0)","(0, 0)",0.8560822709551227
32,0,4,"(0, 2)","(0, 0);(0, 1);(0, 2);(0, 2)","(0, 2)",0.851801859600347
33,0,4,"(1, 0)","(0, 1);(0, 0);(1, 0);(1, 0)","(1, 1)",0.8475428503023453
34,0,4,"(2, 0)","(0, 0);(0, 0);(1, 0);(2, 0)","(1, 0)",0.8433051360508336
35,0,4,"(0, 0)","(0, 0);(1, 0);(1, 0);(0, 0)","(0, 0)",0.8390886103705794
36,-1,4,"(0, 1)","(1, 0);(1, 0);(1, 1);(0, 1)","(0, 0)",0.8348931673187264
37,-1,4,"(1, 1)","(0, 0);(0, 1);(0, 1);(1, 1)","(2, 1)",0.8307187014821328
38,0,4,"(0, 2)","(0, 0);(0, 0);(0, 1);(0, 2)","(0, 1)",0.8265651079747222
39,0,4,"(1, 0)","(0, 0);(0, 0);(0, 0);(1, 0)","(0, 0)",0.8224322824348486
40,-2,4,"(1, 1)","(1, 0);(1, 1);(1, 2);(1, 1)","(2, 1)",0.8183201210226743
41,-1,4,"(1, 1)","(1, 0);(2, 0);(2, 1);(1, 1)","(1, 0)",0.8142285204175609
42,0,4,"(1, 2)","(0, 0);(0, 1);(0, 2);(1, 2)","(0, 2)",0.810157377815473
43,0,4,"(0, 0)","(1, 0);(0, 0);(1, 0);(0, 0)","(0, 1)",0.8061065909263957
44,-1,4,"(1, 1)","(1, 0);(0, 0);(0, 1);(1, 1)","(2, 1)",0.8020760579717637
45,0,4,"(0, 0)","(0, 0);(0, 0);(0, 0);(0, 0)","(0, 0)",0.798065677681905
46,0,4,"(0, 2)","(0, 1);(0, 1);(0, 1);(0, 2)","(1, 2)",0.7940753492934954
47,5,4,"(2, 2)","(0, 1);(0, 2);(1, 2);(2, 2)","(2, 2)",0.7901049725470279
48,-2,4,"(1, 1)","(1, 0);(1, 1);(1, 0);(1, 1)","(1, 2)",0.7861544476842928
