Episode,Total Reward,Steps Taken,state,Path,Final_position,Epsilon,Done
1,-2,20,"(1, 2)","(1, 0);(1, 1);(1, 2);(0, 2);(0, 2);(0, 3);(0, 4);(0, 4);(1, 4);(1, 5);(1, 5);(1, 4);(1, 3);(1, 4);(1, 3);(1, 2);(1, 1);(2, 1);(2, 2);(1, 2)","(0, 2)",0.995,False
2,-2,20,"(4, 2)","(1, 0);(1, 0);(1, 0);(1, 1);(0, 1);(1, 1);(2, 1);(2, 0);(2, 1);(2, 0);(3, 0);(3, 1);(3, 2);(3, 3);(3, 4);(4, 4);(5, 4);(4, 4);(4, 3);(4, 2)","(4, 1)",0.990025,False
3,-2,20,"(2, 1)","(1, 0);(0, 0);(1, 0);(0, 0);(0, 0);(1, 0);(1, 1);(1, 0);(0, 0);(0, 1);(0, 1);(0, 0);(0, 0);(0, 1);(0, 2);(1, 2);(0, 2);(0, 1);(1, 1);(2, 1)","(2, 2)",0.985074875,False
4,0,20,"(4, 4)","(0, 1);(0, 2);(0, 3);(0, 3);(1, 3);(0, 3);(0, 3);(1, 3);(2, 3);(2, 4);(3, 4);(3, 5);(4, 5);(4, 5);(4, 5);(3, 5);(3, 4);(3, 5);(4, 5);(4, 4)","(4, 5)",0.9801495006250001,False
5,-2,20,"(3, 4)","(0, 0);(0, 0);(1, 0);(0, 0);(0, 1);(1, 1);(1, 0);(1, 0);(1, 1);(2, 1);(2, 2);(2, 3);(2, 4);(3, 4);(3, 3);(2, 3);(2, 4);(2, 5);(2, 4);(3, 4)","(2, 4)",0.9752487531218751,False
6,-4,20,"(4, 4)","(0, 0);(0, 1);(0, 2);(1, 2);(1, 1);(0, 1);(0, 0);(0, 0);(1, 0);(1, 1);(0, 1);(1, 1);(0, 1);(1, 1);(1, 2);(1, 3);(2, 3);(2, 4);(3, 4);(4, 4)","(4, 3)",0.9703725093562657,False
7,-2,20,"(2, 5)","(0, 0);(0, 1);(0, 1);(0, 2);(0, 1);(1, 1);(2, 1);(1, 1);(1, 2);(1, 3);(1, 2);(1, 3);(0, 3);(0, 3);(1, 3);(1, 4);(2, 4);(3, 4);(2, 4);(2, 5)","(1, 5)",0.9655206468094844,False
8,-1,20,"(3, 0)","(1, 0);(1, 0);(0, 0);(0, 0);(0, 0);(0, 1);(0, 0);(0, 0);(0, 0);(0, 0);(0, 0);(0, 1);(1, 1);(2, 1);(3, 1);(4, 1);(3, 1);(3, 2);(3, 1);(3, 0)","(3, 0)",0.960693043575437,False
9,0,20,"(2, 3)","(0, 0);(0, 0);(1, 0);(2, 0);(2, 0);(2, 1);(2, 0);(1, 0);(2, 0);(2, 1);(2, 2);(2, 3);(2, 4);(3, 4);(2, 4);(3, 4);(2, 4);(1, 4);(2, 4);(2, 3)","(2, 2)",0.9558895783575597,False
10,-3,20,"(1, 1)","(0, 0);(0, 1);(0, 1);(0, 2);(0, 2);(1, 2);(1, 3);(2, 3);(2, 2);(2, 1);(2, 2);(1, 2);(1, 1);(0, 1);(0, 0);(0, 0);(1, 0);(1, 1);(1, 2);(1, 1)","(2, 1)",0.9511101304657719,False
11,0,20,"(3, 4)","(0, 1);(0, 2);(1, 2);(1, 3);(1, 4);(2, 4);(2, 3);(3, 3);(3, 4);(3, 3);(3, 4);(2, 4);(2, 5);(2, 4);(2, 5);(2, 5);(3, 5);(3, 5);(3, 5);(3, 4)","(3, 3)",0.946354579813443,False
12,-1,20,"(0, 0)","(1, 0);(1, 1);(2, 1);(3, 1);(3, 0);(2, 0);(2, 0);(2, 1);(2, 0);(2, 0);(3, 0);(3, 1);(2, 1);(2, 0);(1, 0);(0, 0);(0, 0);(0, 0);(1, 0);(0, 0)","(0, 0)",0.9416228069143757,False
13,0,20,"(2, 1)","(1, 0);(2, 0);(2, 0);(2, 1);(3, 1);(3, 0);(3, 0);(3, 0);(4, 0);(3, 0);(3, 1);(3, 2);(4, 2);(4, 3);(3, 3);(3, 2);(3, 1);(4, 1);(3, 1);(2, 1)","(3, 1)",0.9369146928798039,False
14,-1,20,"(0, 1)","(0, 0);(0, 0);(0, 1);(0, 0);(0, 0);(0, 1);(0, 2);(1, 2);(0, 2);(1, 2);(0, 2);(1, 2);(0, 2);(1, 2);(0, 2);(1, 2);(1, 1);(1, 2);(0, 2);(0, 1)","(0, 0)",0.9322301194154049,False
15,-4,20,"(4, 1)","(1, 0);(1, 1);(1, 0);(0, 0);(0, 1);(0, 0);(1, 0);(0, 0);(1, 0);(1, 1);(1, 2);(1, 1);(1, 0);(1, 0);(2, 0);(1, 0);(1, 1);(2, 1);(3, 1);(4, 1)","(4, 2)",0.9275689688183278,False
16,-1,20,"(1, 1)","(1, 0);(0, 0);(0, 1);(0, 2);(1, 2);(2, 2);(3, 2);(4, 2);(3, 2);(2, 2);(3, 2);(3, 1);(4, 1);(4, 2);(3, 2);(4, 2);(4, 1);(3, 1);(2, 1);(1, 1)","(0, 1)",0.9229311239742362,False
17,0,20,"(0, 4)","(0, 1);(0, 2);(0, 3);(0, 3);(1, 3);(0, 3);(0, 2);(0, 3);(0, 4);(0, 5);(0, 5);(1, 5);(1, 4);(1, 5);(1, 4);(1, 5);(0, 5);(0, 5);(0, 5);(0, 4)","(0, 3)",0.918316468354365,False
18,-3,20,"(4, 2)","(0, 0);(0, 1);(0, 0);(0, 0);(0, 0);(1, 0);(1, 1);(1, 0);(1, 0);(1, 1);(1, 0);(1, 1);(2, 1);(2, 2);(3, 2);(4, 2);(3, 2);(2, 2);(3, 2);(4, 2)","(5, 2)",0.9137248860125932,False
