Episode,Total Reward,Steps Taken,state,Path,Final_position,Epsilon,Done
1,0,20,"(4, 0)","(0, 1);(0, 0);(0, 0);(0, 0);(0, 0);(0, 1);(0, 1);(0, 2);(0, 2);(0, 1);(0, 0);(0, 0);(0, 0);(0, 0);(1, 0);(2, 0);(3, 0);(4, 0);(4, 0);(4, 0)","(4, 0)",0.995,False
2,0,20,"(3, 0)","(1, 0);(2, 0);(2, 0);(1, 0);(2, 0);(2, 1);(2, 0);(2, 1);(2, 0);(2, 1);(3, 1);(3, 2);(3, 3);(3, 2);(4, 2);(4, 1);(3, 1);(3, 0);(2, 0);(3, 0)","(2, 0)",0.990025,False
3,0,20,"(0, 0)","(0, 0);(0, 1);(0, 0);(0, 0);(0, 1);(0, 1);(0, 0);(1, 0);(0, 0);(1, 0);(1, 0);(0, 0);(0, 0);(0, 0);(0, 0);(0, 0);(0, 0);(0, 1);(0, 0);(0, 0)","(1, 0)",0.985074875,False
4,-3,20,"(3, 3)","(0, 0);(0, 1);(0, 0);(0, 1);(1, 1);(0, 1);(0, 1);(1, 1);(0, 1);(1, 1);(1, 2);(2, 2);(3, 2);(3, 3);(3, 2);(3, 1);(3, 2);(2, 2);(3, 2);(3, 3)","(3, 2)",0.9801495006250001,False
5,-1,20,"(2, 1)","(0, 0);(1, 0);(1, 0);(2, 0);(2, 1);(1, 1);(1, 0);(2, 0);(2, 0);(2, 0);(2, 0);(2, 0);(2, 0);(2, 1);(3, 1);(4, 1);(3, 1);(3, 2);(3, 1);(2, 1)","(3, 1)",0.9752487531218751,False
6,-1,20,"(0, 5)","(1, 0);(1, 1);(1, 2);(0, 2);(0, 3);(0, 4);(0, 4);(0, 4);(0, 4);(0, 5);(0, 5);(1, 5);(1, 5);(0, 5);(1, 5);(0, 5);(0, 5);(1, 5);(0, 5);(0, 5)","(0, 5)",0.9703725093562657,False
7,-1,20,"(1, 5)","(0, 0);(1, 0);(1, 0);(0, 0);(0, 0);(0, 0);(1, 0);(1, 0);(1, 0);(0, 0);(0, 0);(1, 0);(1, 1);(1, 2);(1, 3);(1, 4);(1, 3);(1, 4);(1, 5);(1, 5)","(0, 5)",0.9655206468094844,False
8,-1,20,"(1, 2)","(0, 0);(0, 0);(0, 0);(0, 0);(0, 0);(0, 0);(0, 0);(1, 0);(1, 1);(0, 1);(0, 0);(0, 0);(1, 0);(1, 0);(1, 0);(1, 0);(0, 0);(0, 1);(0, 2);(1, 2)","(0, 2)",0.960693043575437,False
9,-1,20,"(0, 0)","(1, 0);(1, 0);(0, 0);(1, 0);(2, 0);(2, 0);(2, 1);(1, 1);(0, 1);(0, 0);(0, 0);(0, 1);(0, 2);(0, 1);(0, 1);(0, 0);(1, 0);(0, 0);(0, 0);(0, 0)","(1, 0)",0.9558895783575597,False
10,-1,20,"(3, 2)","(0, 1);(0, 0);(1, 0);(1, 1);(1, 0);(2, 0);(2, 0);(2, 1);(2, 2);(3, 2);(2, 2);(1, 2);(2, 2);(2, 3);(1, 3);(1, 4);(2, 4);(2, 3);(2, 2);(3, 2)","(2, 2)",0.9511101304657719,False
