,Episode,Total Reward,Steps Taken,state,Path,Final_position,Epsilon,Done
0,1,-3,20,"(5, 1)","(0, 1);(1, 1);(2, 1);(1, 1);(1, 2);(1, 1);(1, 2);(2, 2);(3, 2);(2, 2);(3, 2);(4, 2);(5, 2);(5, 2);(4, 2);(5, 2);(5, 3);(5, 2);(5, 1);(5, 1)","(5, 0)",0.995,False
1,2,-1,20,"(4, 2)","(0, 0);(0, 0);(0, 0);(0, 0);(0, 1);(0, 1);(0, 1);(0, 1);(0, 0);(0, 0);(1, 0);(1, 1);(0, 1);(0, 2);(1, 2);(2, 2);(1, 2);(2, 2);(3, 2);(4, 2)","(4, 1)",0.990025,False
2,3,0,20,"(0, 0)","(0, 0);(0, 0);(1, 0);(2, 0);(3, 0);(2, 0);(1, 0);(0, 0);(0, 0);(0, 0);(0, 0);(0, 0);(0, 0);(0, 1);(0, 0);(0, 0);(0, 0);(0, 1);(0, 1);(0, 0)","(0, 0)",0.985074875,False
3,4,-1,20,"(1, 1)","(0, 0);(0, 1);(0, 2);(0, 2);(0, 2);(1, 2);(2, 2);(1, 2);(0, 2);(0, 1);(0, 0);(0, 1);(0, 0);(0, 0);(1, 0);(1, 0);(0, 0);(0, 0);(1, 0);(1, 1)","(1, 0)",0.980149500625,False
4,5,0,20,"(3, 2)","(0, 0);(0, 0);(0, 0);(0, 0);(0, 0);(1, 0);(0, 0);(1, 0);(0, 0);(0, 0);(0, 0);(1, 0);(2, 0);(3, 0);(4, 0);(4, 1);(4, 2);(4, 1);(4, 2);(3, 2)","(2, 2)",0.9752487531218752,False
5,6,-1,20,"(0, 1)","(0, 0);(0, 0);(0, 0);(1, 0);(2, 0);(1, 0);(2, 0);(2, 1);(1, 1);(0, 1);(0, 1);(0, 0);(0, 0);(0, 0);(0, 0);(1, 0);(1, 0);(0, 0);(0, 1);(0, 1)","(1, 1)",0.9703725093562656,False
6,7,-3,20,"(1, 1)","(1, 0);(1, 0);(0, 0);(0, 0);(0, 1);(0, 1);(0, 0);(0, 0);(0, 1);(1, 1);(1, 0);(1, 1);(0, 1);(0, 2);(0, 1);(0, 0);(0, 0);(0, 1);(0, 1);(1, 1)","(1, 2)",0.9655206468094844,False
7,8,-1,20,"(3, 3)","(0, 0);(0, 0);(0, 0);(0, 0);(0, 0);(0, 1);(1, 1);(0, 1);(0, 0);(1, 0);(1, 0);(2, 0);(2, 1);(2, 2);(3, 2);(3, 3);(3, 2);(4, 2);(3, 2);(3, 3)","(3, 4)",0.960693043575437,False
8,9,-3,20,"(0, 1)","(0, 0);(1, 0);(1, 1);(1, 0);(2, 0);(3, 0);(2, 0);(2, 1);(3, 1);(3, 2);(2, 2);(2, 1);(1, 1);(0, 1);(0, 0);(0, 0);(1, 0);(1, 0);(1, 1);(0, 1)","(0, 1)",0.9558895783575596,False
9,10,0,20,"(2, 2)","(0, 0);(0, 0);(0, 0);(1, 0);(2, 0);(3, 0);(3, 0);(4, 0);(5, 0);(5, 1);(5, 1);(5, 1);(5, 0);(4, 0);(4, 1);(4, 2);(3, 2);(2, 2);(3, 2);(2, 2)","(3, 2)",0.951110130465772,False
10,11,-2,20,"(2, 1)","(1, 0);(2, 0);(1, 0);(1, 0);(2, 0);(2, 0);(1, 0);(1, 0);(0, 0);(0, 0);(1, 0);(1, 1);(0, 1);(0, 0);(1, 0);(1, 0);(1, 1);(2, 1);(3, 1);(2, 1)","(2, 0)",0.946354579813443,False
11,12,-1,20,"(2, 1)","(0, 0);(0, 1);(0, 2);(0, 3);(0, 2);(0, 3);(1, 3);(1, 4);(0, 4);(0, 3);(0, 4);(0, 4);(0, 4);(1, 4);(1, 3);(1, 2);(0, 2);(0, 1);(1, 1);(2, 1)","(3, 1)",0.9416228069143756,False
12,13,-2,20,"(1, 1)","(0, 0);(0, 0);(1, 0);(1, 0);(1, 1);(0, 1);(0, 2);(1, 2);(0, 2);(0, 1);(0, 1);(0, 0);(0, 0);(1, 0);(1, 0);(1, 0);(0, 0);(0, 1);(0, 1);(1, 1)","(1, 2)",0.936914692879804,False
13,14,-1,20,"(5, 2)","(0, 0);(0, 0);(0, 1);(1, 1);(2, 1);(2, 0);(1, 0);(2, 0);(2, 0);(2, 1);(3, 1);(3, 0);(3, 0);(3, 1);(4, 1);(5, 1);(5, 2);(5, 3);(5, 2);(5, 2)","(5, 3)",0.9322301194154048,False
14,15,0,20,"(2, 2)","(0, 0);(0, 0);(0, 1);(0, 2);(0, 3);(0, 2);(0, 3);(0, 4);(0, 3);(0, 4);(0, 5);(0, 5);(0, 5);(1, 5);(2, 5);(2, 4);(1, 4);(2, 4);(2, 3);(2, 2)","(3, 2)",0.9275689688183278,False
15,16,-1,20,"(3, 1)","(0, 0);(0, 1);(0, 1);(1, 1);(2, 1);(3, 1);(3, 2);(2, 2);(2, 1);(3, 1);(3, 0);(4, 0);(5, 0);(4, 0);(5, 0);(5, 1);(4, 1);(4, 0);(3, 0);(3, 1)","(3, 2)",0.9229311239742362,False
16,17,-1,20,"(5, 0)","(0, 0);(0, 0);(1, 0);(1, 0);(1, 1);(2, 1);(3, 1);(4, 1);(4, 0);(5, 0);(5, 0);(5, 1);(5, 0);(5, 0);(5, 0);(5, 1);(5, 0);(5, 1);(5, 0);(5, 0)","(5, 0)",0.918316468354365,False
17,18,-1,20,"(0, 0)","(0, 0);(0, 0);(0, 1);(0, 1);(0, 1);(0, 2);(0, 2);(0, 1);(0, 2);(0, 2);(1, 2);(1, 1);(0, 1);(0, 1);(0, 0);(0, 0);(0, 0);(1, 0);(0, 0);(0, 0)","(1, 0)",0.9137248860125932,False
18,19,-1,20,"(0, 1)","(0, 0);(0, 1);(1, 1);(1, 2);(0, 2);(0, 2);(0, 3);(0, 4);(0, 3);(0, 2);(0, 2);(0, 3);(0, 2);(0, 1);(0, 0);(0, 0);(0, 0);(0, 0);(0, 0);(0, 1)","(1, 1)",0.9091562615825302,False
19,20,0,20,"(2, 5)","(0, 1);(0, 2);(0, 3);(0, 3);(0, 3);(0, 2);(1, 2);(2, 2);(2, 3);(2, 4);(3, 4);(3, 3);(3, 4);(3, 5);(4, 5);(4, 5);(3, 5);(3, 5);(3, 5);(2, 5)","(3, 5)",0.9046104802746175,False
20,21,-1,20,"(0, 4)","(1, 0);(0, 0);(0, 0);(1, 0);(1, 1);(1, 2);(1, 3);(0, 3);(0, 4);(0, 3);(0, 3);(0, 3);(0, 2);(0, 2);(0, 3);(0, 4);(0, 3);(1, 3);(1, 4);(0, 4)","(0, 5)",0.9000874278732445,False
21,22,0,20,"(5, 0)","(0, 0);(1, 0);(2, 0);(3, 0);(2, 0);(2, 0);(3, 0);(2, 0);(2, 0);(2, 1);(2, 0);(2, 1);(3, 1);(3, 2);(4, 2);(3, 2);(4, 2);(4, 1);(4, 0);(5, 0)","(4, 0)",0.8955869907338783,False
22,23,0,20,"(5, 1)","(1, 0);(0, 0);(1, 0);(2, 0);(2, 1);(3, 1);(3, 0);(4, 0);(5, 0);(5, 1);(4, 1);(4, 0);(4, 1);(3, 1);(2, 1);(3, 1);(3, 0);(4, 0);(4, 1);(5, 1)","(5, 1)",0.8911090557802088,False
23,24,-2,20,"(3, 0)","(0, 0);(0, 0);(0, 1);(1, 1);(2, 1);(3, 1);(4, 1);(5, 1);(4, 1);(3, 1);(3, 2);(3, 3);(2, 3);(2, 2);(1, 2);(1, 1);(1, 0);(2, 0);(3, 0);(3, 0)","(3, 1)",0.8866535105013078,False
24,25,-2,20,"(5, 1)","(1, 0);(0, 0);(0, 0);(0, 0);(0, 1);(1, 1);(1, 0);(1, 1);(1, 0);(2, 0);(2, 0);(1, 0);(0, 0);(1, 0);(1, 0);(2, 0);(3, 0);(4, 0);(4, 1);(5, 1)","(5, 1)",0.8822202429488013,False
25,26,-1,20,"(4, 1)","(1, 0);(1, 1);(1, 0);(2, 0);(2, 0);(3, 0);(3, 1);(3, 0);(3, 1);(4, 1);(4, 2);(3, 2);(4, 2);(4, 1);(3, 1);(4, 1);(4, 2);(4, 1);(5, 1);(4, 1)","(4, 2)",0.8778091417340573,False
26,27,-2,20,"(3, 1)","(0, 1);(0, 2);(0, 3);(0, 2);(1, 2);(0, 2);(1, 2);(1, 3);(1, 2);(1, 1);(0, 1);(1, 1);(1, 2);(2, 2);(2, 3);(2, 2);(2, 1);(2, 2);(2, 1);(3, 1)","(2, 1)",0.8734200960253871,False
27,28,-1,20,"(2, 5)","(1, 0);(1, 1);(2, 1);(2, 2);(3, 2);(4, 2);(3, 2);(4, 2);(5, 2);(5, 3);(5, 3);(5, 4);(5, 3);(5, 4);(4, 4);(4, 5);(3, 5);(2, 5);(1, 5);(2, 5)","(2, 5)",0.8690529955452602,False
28,29,-2,20,"(3, 4)","(1, 0);(2, 0);(1, 0);(1, 1);(1, 0);(0, 0);(1, 0);(1, 0);(1, 1);(1, 0);(2, 0);(3, 0);(4, 0);(3, 0);(3, 1);(3, 2);(3, 3);(3, 4);(4, 4);(3, 4)","(3, 3)",0.8647077305675338,False
